Protein_Name	LFQ_C37BM	LFQ_C38BM	LFQ_C39BM	LFQ_C37PM	LFQ_C38PM	LFQ_C39PM	LFQ_C37PPM	LFQ_C38PPM	LFQ_C39PPM	LFQ_C37BN	LFQ_C39BN	LFQ_C37PN	LFQ_C39PN	LFQ_C37PPN	LFQ_C39PPN	LFQ_C37BS	LFQ_C38BS	LFQ_C39BS	LFQ_C37PS	LFQ_C38PS	LFQ_C39PS	LFQ_C37PPS	LFQ_C38PPS	LFQ_C39PPS	LFQ_C37BW3	LFQ_C38BW3	LFQ_C39BW3	LFQ_C37PW3	LFQ_C38PW3	LFQ_C39PW3	LFQ_C37PPW3	LFQ_C38PPW3	LFQ_C39PPW3
Carboxypeptidase B2	20.2056217193604	20.7364482879639	19.5491485595703	20.4539260864258	21.0184211730957	20.5759792327881	20.8018341064453	20.9358177185059	21.9633865356445	20.5155696868896	20.7287483215332	20.6055774688721	20.0289096832275	NA	21.1862239837646	20.9140777587891	20.3409328460693	21.095645904541	19.1693515777588	20.4788208007813	20.1037998199463	20.5047492980957	20.126033782959	20.4453620910645	20.7870807647705	NA	20.6103610992432	20.6003227233887	NA	21.493408203125	20.1141338348389	NA	22.189001083374
Transthyretin	21.6993923187256	22.5071220397949	23.2738380432129	21.8778495788574	21.9883251190186	20.1174354553223	22.6143665313721	22.5754718780518	18.4122886657715	21.6094608306885	20.3453788757324	22.0559635162354	NA	NA	21.3972301483154	21.0101776123047	22.7212982177734	21.4650821685791	22.1646900177002	23.1872959136963	22.9359264373779	21.3737964630127	23.5311241149902	19.0432147979736	21.6202869415283	NA	17.7449779510498	23.0189800262451	22.1640758514404	NA	22.9962100982666	21.9859657287598	18.1923885345459
Glutathione peroxidase;Glutathione peroxidase 3	20.5031967163086	20.2944583892822	22.9083728790283	20.1947231292725	19.6108665466309	20.412971496582	20.9869022369385	20.2470188140869	20.6238174438477	21.236255645752	20.4244976043701	20.5424575805664	20.0141353607178	NA	21.2068138122559	20.7131385803223	20.1480541229248	20.4651317596436	20.5808620452881	20.0747013092041	22.6090545654297	19.937328338623	21.077507019043	20.2078857421875	20.8029384613037	NA	19.8237342834473	20.9529056549072	NA	21.0935859680176	20.3237762451172	21.181619644165	20.71044921875
Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain	20.4130744934082	19.7819519042969	18.7618885040283	20.4482898712158	20.8686866760254	20.4023914337158	20.385534286499	20.6435928344727	20.2677383422852	NA	20.2662506103516	20.1984443664551	21.9553565979004	NA	19.7727375030518	19.9771518707275	21.0186920166016	20.7645797729492	19.5005531311035	20.2365474700928	NA	20.2773056030273	NA	20.558895111084	21.0338230133057	NA	21.1115894317627	19.5482273101807	NA	19.740291595459	20.1570911407471	NA	20.4350185394287
Serum amyloid A-4 protein	23.3042411804199	26.0042324066162	27.3968906402588	24.2508983612061	25.2750473022461	23.4563846588135	25.4111881256104	25.6783924102783	22.7622089385986	25.9293117523193	24.6884841918945	26.016185760498	23.3071632385254	23.2195129394531	26.7845668792725	24.3466510772705	26.3655967712402	24.3705940246582	25.8591327667236	27.0462474822998	26.4788341522217	24.0534954071045	27.4450588226318	24.0152072906494	24.4939937591553	25.4429092407227	22.3727340698242	26.1772346496582	26.1481590270996	24.8711719512939	25.6919498443604	25.6709041595459	21.8478927612305
Ig gamma-1 chain C region	24.1226577758789	23.7968940734863	22.1891822814941	24.0431003570557	24.2783832550049	23.6731433868408	24.0149517059326	23.9508247375488	23.7078838348389	23.7890510559082	23.5688304901123	24.0675964355469	24.7476558685303	NA	23.6050109863281	24.0947456359863	23.7538909912109	23.6531600952148	23.9141521453857	23.2635612487793	21.3334178924561	24.1596183776855	21.2811031341553	23.9798049926758	24.4490966796875	20.8715476989746	24.1689033508301	23.6100921630859	21.1797389984131	23.3345642089844	24.7198371887207	20.5069770812988	23.6999645233154
Complement C1q subcomponent subunit B	20.3926773071289	20.5997791290283	NA	21.0842056274414	20.0256690979004	19.9810600280762	20.7366962432861	20.9695129394531	NA	20.7464065551758	20.4325752258301	20.7487010955811	21.1937007904053	NA	21.0677604675293	21.1082744598389	20.5859127044678	20.175968170166	20.6005954742432	20.6129722595215	NA	19.9050998687744	20.124267578125	20.641300201416	21.0502605438232	NA	20.2063369750977	NA	NA	20.5952320098877	20.3980121612549	NA	19.3500709533691
Integrin-linked protein kinase	19.2829704284668	22.0625648498535	19.2896728515625	19.5229034423828	21.1794357299805	19.7109870910645	19.9989318847656	21.5867366790771	20.0500602722168	19.5213508605957	19.7622947692871	19.7164249420166	20.2725296020508	NA	20.2933368682861	19.6359272003174	21.230110168457	20.1043128967285	19.7763080596924	21.3477592468262	NA	19.0564517974854	21.0835571289063	19.7075214385986	20.3994731903076	NA	20.1423320770264	20.318489074707	NA	21.525447845459	20.6570053100586	NA	20.6693420410156
Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions	21.6545581817627	20.842378616333	22.3406066894531	21.0803718566895	20.6163864135742	21.3477058410645	22.0695629119873	21.3931503295898	NA	22.0130786895752	21.6484279632568	21.7487010955811	NA	NA	22.324764251709	21.4784259796143	NA	21.0507926940918	21.2759418487549	20.8158149719238	22.0332527160645	21.1989841461182	NA	18.5602207183838	21.2903594970703	NA	20.2258796691895	21.3882694244385	NA	21.7051429748535	21.9825572967529	NA	20.2628154754639
S4R460;A0A0B4J2B5	20.8328304290771	21.4216766357422	NA	20.8044376373291	21.8676319122314	21.1043758392334	20.5021286010742	21.6525478363037	21.1150875091553	20.287712097168	20.209077835083	20.6707248687744	21.4148292541504	NA	20.5669059753418	NA	21.6539916992188	21.4679203033447	20.3455963134766	21.0349655151367	NA	20.5962333679199	19.8554706573486	20.2863597869873	21.0020275115967	NA	21.6187191009521	20.6085586547852	NA	20.2402782440186	21.5923137664795	NA	20.8327541351318
